word,sentence1,sentence2,same,ambiguity_type,mean_relatedness,distance_bert,distance_elmo
act,It was a desperate act.,It was a magic act.,False,Polysemy,2.181818182,0.204110265,0.034093499
act,It was a desperate act.,It was a comedic act.,False,Polysemy,2.0,0.215615511,0.045926571
act,It was a humane act.,It was a magic act.,False,Polysemy,2.818181818,0.191488087,0.042350948
act,It was a humane act.,It was a comedic act.,False,Polysemy,2.80952381,0.225271583,0.05770725
act,It was a desperate act.,It was a humane act.,True,Polysemy,3.9,0.167989969,0.041440308
act,It was a magic act.,It was a comedic act.,True,Polysemy,3.764705882,0.162387192,0.035784066
appeal,He had a universal appeal.,He had a legal appeal.,False,Polysemy,1.571428571,0.370739162,0.108166337
appeal,He had a universal appeal.,He had a pending appeal.,False,Polysemy,1.0,0.430851221,0.150558531
appeal,He had an undefinable appeal.,He had a legal appeal.,False,Polysemy,1.235294118,0.398581862,0.13264215
appeal,He had an undefinable appeal.,He had a pending appeal.,False,Polysemy,0.714285714,0.4461236,0.182452857
appeal,He had a universal appeal.,He had an undefinable appeal.,True,Polysemy,3.7,0.120313466,0.045355678
appeal,He had a legal appeal.,He had a pending appeal.,True,Polysemy,3.272727273,0.098901391,0.060672343
atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,False,Polysemy,1.214285714,0.352736831,0.102721155
atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,False,Polysemy,1.846153846,0.256296635,0.068193078
atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,False,Polysemy,1.538461538,0.252422631,0.092967808
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,False,Polysemy,2.181818182,0.126936376,0.052345157
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,True,Polysemy,4.0,0.129758179,0.037254393
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,True,Polysemy,3.466666667,0.199588358,0.037874043
bail,He bailed out the prisoner.,He bailed out the water.,False,Homonymy,0.894736842,0.294229746,0.079534769
bail,He bailed out the prisoner.,He bailed out the liquid.,False,Homonymy,0.666666667,0.287322104,0.099640667
bail,He bailed out the defendant.,He bailed out the water.,False,Homonymy,0.75,0.443184912,0.110985637
bail,He bailed out the defendant.,He bailed out the liquid.,False,Homonymy,0.764705882,0.42926693,0.120074809
bail,He bailed out the prisoner.,He bailed out the defendant.,True,Homonymy,3.083333333,0.140995204,0.084383667
bail,He bailed out the water.,He bailed out the liquid.,True,Homonymy,3.083333333,0.126403391,0.065280318
band,It was a gold band.,It was a jazz band.,False,Homonymy,0.2,0.449524701,0.073461235
band,It was a gold band.,It was a country band.,False,Homonymy,0.384615385,0.455853581,0.076260746
band,It was a rubber band.,It was a jazz band.,False,Homonymy,0.333333333,0.482806385,0.080441296
band,It was a rubber band.,It was a country band.,False,Homonymy,0.1,0.484228253,0.089959681
band,It was a gold band.,It was a rubber band.,True,Homonymy,2.526315789,0.250876188,0.045372784
band,It was a jazz band.,It was a country band.,True,Homonymy,4.0,0.091263115,0.034426391
bank,He banked the plane.,He banked the money.,False,Homonymy,1.0,0.323924422,0.132879496
bank,He banked the plane.,He banked the cash.,False,Homonymy,0.733333333,0.273554802,0.136303425
bank,He banked the helicopter.,He banked the money.,False,Homonymy,0.6,0.350970745,0.146282852
bank,He banked the helicopter.,He banked the cash.,False,Homonymy,1.375,0.298910558,0.146447778
bank,He banked the plane.,He banked the helicopter.,True,Homonymy,3.333333333,0.052691579,0.030866385
bank,He banked the money.,He banked the cash.,True,Homonymy,3.533333333,0.071297884,0.015070319
barrier,There was a police barrier.,There was a language barrier.,False,Polysemy,1.333333333,0.270082295,0.092094541
barrier,There was a police barrier.,There was a religious barrier.,False,Polysemy,1.266666667,0.224227011,0.076318026
barrier,There was a concrete barrier.,There was a language barrier.,False,Polysemy,1.692307692,0.247155786,0.07921809
barrier,There was a concrete barrier.,There was a religious barrier.,False,Polysemy,1.727272727,0.197422087,0.060512066
barrier,There was a police barrier.,There was a concrete barrier.,True,Polysemy,2.923076923,0.11560303,0.063831151
barrier,There was a language barrier.,There was a religious barrier.,True,Polysemy,3.538461538,0.136045516,0.056087494
bat,He saw a furry bat.,He saw a wooden bat.,False,Homonymy,0.0,0.141213,0.037469864
bat,He saw a furry bat.,He saw a baseball bat.,False,Homonymy,0.5,0.220161021,0.048564672
